,Unnamed: 0,c/a,entropy,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean GSmagmom,MagpieData mean BoilingT,MagpieData avg_dev BoilingT,MagpieData mean Density,MagpieData avg_dev Density,MagpieData mean FirstIonizationEnergy,MagpieData avg_dev FirstIonizationEnergy,MagpieData mean HeatCapacityMolar,PymatgenData mean atomic_radius,avg_dev/mean atomic_radius
10,10,1.05342,8.644238489,49.15746125,12.42623063,1474.5,275.75,1.67,0.24,2,0,0,7.25,0,2.25,2.25,1.375,13.50439655,0,0.29777488,2517.25,668.75,6756,2509,7.58996375,0.077971875,25.83225,1.4,0.035714286
11,11,1.211150931,9.813052087,58.65914875,4.183195469,1370.233125,432.1503125,1.744375,0.190234375,2,0.1875,0,9.3125,0.9375,2.25,3.1875,1.5859375,13.6783028,0,0.29777488,2750.75,435.25,7525.375,1382.625,7.185346438,0.578790344,26.1161875,1.38125,0.044683258
12,12,1.053245941,10.0849449,56.80633625,5.116229687,1420.98875,356.016875,1.69375,0.2453125,2,0.125,0,8.625,0.625,2.25,2.875,1.59375,14.86033405,0,0.29777488,2705.75,480.25,7253.25,1763.125,7.192462625,0.568116063,26.109875,1.4125,0.068584071
13,13,1.030401961,9.813052087,54.95352375,5.586060781,1471.744375,279.8834375,1.643125,0.287734375,2,0.0625,0,7.9375,0.3125,2.25,2.5625,1.5234375,16.0423653,0,0.29777488,2660.75,525.25,6981.125,2171.3125,7.199578812,0.557441781,26.1035625,1.44375,0.092532468
14,14,1.08,9.813052087,61.63052375,6.283363125,1366.170625,438.2440625,1.74125,0.19453125,2,0.1875,0,9.3125,0.9375,2.25,3.1875,1.5859375,14.7070528,0,0.29777488,2744.375,441.625,7592.875,1315.125,7.159202063,0.618006906,26.17,1.39375,0.05661435
15,15,1.04,10.0849449,62.74908625,7.961206875,1412.86375,368.204375,1.6875,0.253125,2,0.125,0,8.625,0.625,2.25,2.875,1.59375,16.91783405,0,0.29777488,2693,493,7388.25,1560.625,7.140173875,0.646549188,26.2175,1.4375,0.097826087
16,16,1.063022954,10.0849449,68.96246125,17.28126937,1406.61375,377.579375,1.68,0.2625,2,0.125,0,8.625,0.625,2.25,2.875,1.59375,18.08783405,0,0.29777488,2754,432,7498.25,1409.75,7.079775625,0.737146563,26.3775,1.45625,0.119098712
17,17,1.217366173,9.813052087,58.96401825,4.034618156,1413.920625,416.6289844,1.766875,0.159296875,2,0.1875,0,9.375,0.9375,2.8125,3.75,1.75,12.7073653,0,0.297775277,2834.875,384.640625,7615.0625,1292.9375,7.213367063,0.536759406,26.090625,1.36875,0.032534247
18,18,1.28,9.813052087,59.14596125,3.966389531,1421.858125,419.6055469,1.778125,0.143828125,2,0.1875,0,9.4375,0.9375,2.75,3.6875,1.6875,12.3608028,0,0.297776289,2863.4375,409.6328125,7710.1875,1197.8125,7.230031438,0.511762844,26.061875,1.35625,0.02016129
19,19,1.32,10.0849449,57.77996125,3.899198437,1524.23875,307.9515625,1.76125,0.1609375,2,0.125,0,8.875,0.625,3.25,3.875,1.875,12.22533405,0,0.297777697,2931.125,412.09375,7622.875,1285.125,7.281832625,0.434061063,26.00125,1.3625,0.020642202
20,20,1.36,9.813052087,56.41396125,3.943068594,1626.619375,219.2733594,1.744375,0.173828125,2,0.0625,0,8.3125,0.3125,3.75,4.0625,2.0625,12.0898653,0,0.297779105,2998.8125,397.6328125,7535.5625,1372.4375,7.333633813,0.356359281,25.940625,1.36875,0.019977169
21,21,1.38,8.644238489,55.04796125,3.64543875,1729,106,1.7275,0.1825,2,0,0,7.75,0,4.25,4.25,2.25,11.95439655,0,0.297780514,3066.5,366.25,7448.25,1470.625,7.385435,0.2786575,25.88,1.375,0.018181818
22,22,1.251510071,9.813052087,61.85577375,6.621238125,1433.545625,423.9883594,1.765,0.161875,2,0.1875,0,9.4375,0.9375,2.75,3.6875,1.6875,12.7673653,0,0.29777488,2933.5625,470.9921875,7835.4375,1072.5625,7.217892688,0.529970969,26.080625,1.365625,0.029462243
